idrid	image_id	data_location	is_zarr	download_url	client_path	bia_ngff_id	bia_url	external_info
idr0015	1816623	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD861.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD861/f96eef49-2c7c-4689-a722-d1399fb72c3a/f96eef49-2c7c-4689-a722-d1399fb72c3a.zarr/.zattrs	S-BIAD861		
idr0013	1483351	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD865.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD865/729ccf2c-9301-47f7-9eb9-b8c1eeeee5cf/729ccf2c-9301-47f7-9eb9-b8c1eeeee5cf.zarr/.zattrs	S-BIAD865		
idr0012	1811247	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD845.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD845/409227a9-2f3f-421c-8086-b14253283e42/409227a9-2f3f-421c-8086-b14253283e42.zarr/.zattrs	S-BIAD845		
idr0011	2850324	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD866.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD866/5fbc36b9-ce8f-48a0-830a-ba1feabbb604/5fbc36b9-ce8f-48a0-830a-ba1feabbb604.zarr/.zattrs	S-BIAD866		
idr0010	1922019	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD885.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD885/9d0dab6c-b3db-40f7-9015-dd4e53722f29/9d0dab6c-b3db-40f7-9015-dd4e53722f29.zarr/.zattrs	S-BIAD885		
idr0009	171630	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0009-simpson-secretion	idr/filesets/idr0009-simpson-secretion/20150507-VSVG/VSVG/0001-03--2005-08-01/experiment_descriptor.xml			
idr0008	36211	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0008-rohn-actinome	idr/filesets/idr0008-rohn-actinome/original-drosophila/Drosophila screen/001B30_S2R/001B30_S2R.HTD			
idr0007	96848	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0007-srikumar-sumo	idr/filesets/idr0007-srikumar-sumo/20150522-original-jcb/prosmt3allr/Plate1/003011000.flex			
idr0006	354064	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0006-fong-nuclearbodies	idr/filesets/idr0006-fong-nuclearbodies/20150915-glencoe-jcb/11001-11089/plate 11001_Plate_136/TimePoint_1/plate 11001_B02_s1_w1.TIF			
idr0005	1014017	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0005-toret-adhesion	idr/filesets/idr0005-toret-adhesion/20150520-original-jcb/v2/001/2011-04-19/422/2011-04-19-plate-1.HTD			
idr0004	692150	Embassy_S3	True	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/pages/S-BIAD867.html	https://uk1s3.embassy.ebi.ac.uk/bia-integrator-data/S-BIAD867/103d9428-b86b-4f4e-84d8-966b5d89aae1/103d9428-b86b-4f4e-84d8-966b5d89aae1.zarr/.zattrs	S-BIAD867		
idr0003	15000	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0003-breker-plasticity	idr/tmp/idr_datasets/201301120-breker-proteome-plasticity/201301120/Images/DTT/p1/experiment_descriptor.xml			
idr0002	179788	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0002-heriche-condensation	idr/filesets/idr0002-heriche-condensation/20150401-original/chr_cond_screen/plate1_1_013/experiment_descriptor.xml			
idr0001	1229801	IDR	False	https://ftp.ebi.ac.uk/pub/databases/IDR/idr0001-graml-sysgro	idr/filesets/idr0001-graml-sysgro/20151116-verified/JL_120731_S6A/Meas_01(2012-07-31_10-41-12)/005010001.flex			
